robot_pos target_pos
|[-5.955700410381799e-23, -2.05, 2.444667466666667]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[-6.941708451641798e-05, -2.0495932923507594, 2.443651330125092]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[-0.0011212166710369616, -2.0541808240032102, 2.4410528549191084]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[-0.002797072262031927, -2.0560027796055795, 2.4374594997981416]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[-0.0050448841896363235, -2.0550951046963677, 2.431798351298506]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[-0.007903399382176348, -2.051099458688812, 2.422904500832463]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[-0.011248571186362693, -2.0455344557028137, 2.4103377430202215]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[-0.014037379528722138, -2.0399023961336695, 2.3943287814787344]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[-0.01630598952279498, -2.0379842667311467, 2.3757800057577594]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[-0.017982776381820824, -2.036981553298539, 2.3525736914178474]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[-0.019087938297967906, -2.0378316185828327, 2.326841646613483]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[-0.0196419544320762, -2.0463234579535623, 2.302809855359176]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[-0.019557371732864766, -2.0505510330011147, 2.2774481334109606]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[-0.01886882797003072, -2.0596915608920074, 2.2518571851866085]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[-0.017557626260564656, -2.0698071230551864, 2.2241205091847362]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[-0.015632836961664696, -2.0877702480669145, 2.1996517535943045]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[-0.013071388195770115, -2.1054367031154313, 2.1704360083070764]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[-0.009878510679463035, -2.127964093898985, 2.143934460384555]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[-0.006048704795480794, -2.152266564491198, 2.1171367901150746]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[-0.0015763997705328715, -2.1747263693302332, 2.0892322606737688]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.0035314884560151464, -2.203781803528252, 2.066087951346386]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.009253665155828721, -2.2349767367905136, 2.0405458318541907]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.015612821694189231, -2.268949364030519, 2.017385694696141]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.022563172272402666, -2.3028008658466885, 1.9955319407475076]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.03012608492037271, -2.33770083125292, 1.9719075449141348]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.038290574257764026, -2.3739207003218414, 1.9488377891492483]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.047133131452537134, -2.4085082972438356, 1.923962733648286]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
