bx,by,bz,result
0.03467936813831329,1.9542508125305176,1.0428160429000854,"[0.787933349609375, 0.00646726582199336, 3.141592653589793, 0.81, 0.0, 0.43673490883941923, 0.0, 0.2867349088394192, 0.0, 0.9875979010256551, 1.5692901793916265]"
0.03381342440843582,1.90865159034729,1.0815709829330444,"[0.8610643029212947, 0.007856044918298721, 3.141592653589793, 0.81, 0.0, 0.43673490883941923, 0.0, 0.2867349088394192, 0.0, 0.9875979010256551, 1.5688721363109093]"
0.03295021876692772,1.863196611404419,1.116282343864441,"[0.7927988767623901, 0.00707428902387619, 3.141592653589793, 0.81, 0.0, 0.43673490883941923, 0.0, 0.2867349088394192, 0.0, 0.9875979010256551, 1.5691053055834512]"
0.032089658081531525,1.8178807497024536,1.1469664573669434,"[0.8001908838748937, 0.008442058600485317, 3.141592653589793, 0.81, 0.0, 0.43673490883941923, 0.0, 0.2867349088394192, 0.0, 0.9875979010256551, 1.5686936655689518]"
0.031231647357344627,1.7726991176605225,1.1736383438110352,"[0.6972578644752507, 0.007653600163757809, 3.141592653589793, 0.81, 0.0, 0.43673490883941923, 0.0, 0.2867349088394192, 0.0, 0.9875979010256551, 1.5689289385129253]"
0.03037610463798046,1.7276475429534912,1.196312427520752,"[0.6106926202774048, 0.006865380518138401, 3.141592653589793, 0.81, 0.0, 0.43673490883941923, 0.0, 0.2867349088394192, 0.0, 0.9875979010256551, 1.5691641803507248]"
0.029522955417633057,1.6827220916748047,1.2150017023086548,"[0.6494130641222, 0.0082089714705944, 3.141592653589793, 0.81, 0.0, 0.43673490883941923, 0.0, 0.2867349088394192, 0.0, 0.9875979010256551, 1.568759915032659]"
0.02867213450372219,1.6379190683364868,1.2297186851501465,"[0.5851014330983166, 0.007415989413857466, 3.141592653589793, 0.81, 0.0, 0.43673490883941923, 0.0, 0.2867349088394192, 0.0, 0.9875979010256551, 1.5689966528725365]"
0.027823587879538536,1.593235969543457,1.2404749393463135,"[0.5173695720732215, 0.006623979657888407, 3.141592653589793, 0.81, 0.0, 0.43673490883941923, 0.0, 0.2867349088394192, 0.0, 0.9875979010256551, 1.569233125061963]"
0.02697727084159851,1.5486701726913452,1.2472814321517944,"[0.4521579444408413, 0.0058331675827503135, 3.141592653589793, 0.81, 0.0, 0.43673490883941923, 0.0, 0.2867349088394192, 0.0, 0.9875979010256551, 1.5694692585852483]"
0.026133151724934578,1.5042201280593872,1.250148892402649,"[0.5019021704792976, 0.0071527427062392235, 3.141592653589793, 0.81, 0.0, 0.43673490883941923, 0.0, 0.2867349088394192, 0.0, 0.9875979010256551, 1.569072290850107]"
0.025291208177804947,1.4598846435546875,1.2490873336791992,"[0.4431833326816559, 0.006359675712883466, 3.141592653589793, 0.81, 0.0, 0.43673490883941923, 0.0, 0.2867349088394192, 0.0, 0.9875979010256551, 1.5693091248024742]"
0.02445143088698387,1.415663242340088,1.2441071271896362,"[0.38664621114730835, 0.005568635836243634, 3.141592653589793, 0.81, 0.0, 0.43673490883941923, 0.0, 0.2867349088394192, 0.0, 0.9875979010256551, 1.5695453537118178]"
0.02361382357776165,1.371556043624878,1.2352182865142822,"[0.4443502962589267, 0.006872543320059774, 3.141592653589793, 0.81, 0.0, 0.43673490883941923, 0.0, 0.2867349088394192, 0.0, 0.9875979010256551, 1.5691530958053213]"
0.022778399288654327,1.3275638818740845,1.2224313020706177,"[0.39477107226848607, 0.0060808733105659485, 3.141592653589793, 0.81, 0.0, 0.43673490883941923, 0.0, 0.2867349088394192, 0.0, 0.9875979010256551, 1.569389502951179]"
0.021945180371403694,1.283687949180603,1.2057565450668335,"[0.45642757117748267, 0.00737359821796417, 3.141592653589793, 0.81, 0.0, 0.43673490883941923, 0.0, 0.2867349088394192, 0.0, 0.9875979010256551, 1.569000578248177]"
0.021114204078912735,1.2399300336837769,1.1852054595947266,"[0.40950877070426966, 0.006582009978592391, 3.141592653589793, 0.81, 0.0, 0.43673490883941923, 0.0, 0.2867349088394192, 0.0, 0.9875979010256551, 1.5692369293470423]"
0.020285513252019882,1.1962922811508179,1.1607894897460938,"[0.36370620131492615, 0.0057934921234846105, 3.141592653589793, 0.81, 0.0, 0.43673490883941923, 0.0, 0.2867349088394192, 0.0, 0.9875979010256551, 1.5694723369043808]"
0.019459154456853867,1.1527775526046753,1.132521152496338,"[0.42755988240242004, 0.0070726428180933, 3.141592653589793, 0.81, 0.0, 0.43673490883941923, 0.0, 0.2867349088394192, 0.0, 0.9875979010256551, 1.5690874176707605]"
